Player,Nation,Pos,Squad,Comp,Age,90s,PassesReceivedp90,PassesReceived,Touches,TouchesAttacking3rdp90,TouchesAttacking3rd,TouchesAttackingPenp90,TouchesAttackingPen,SuccDribbles,Attdribblesp90,AttDribbles,SuccDribblesPerc,xAp90,xA,TBp90,TB,Succ Deliveries to boxp90,Succ Deliveries to box,KPp90,KP,PassingFinal3rdp90,PassingFinal3rd,SCAp90,PPA,CrsPA
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28.00,27.90,38.67,1079.00,1839.00,19.07,532.00,1.83,51.00,18.00,1.29,36.00,50.00,0.11,3.10,0.00,0.00,1.08,30.00,1.15,32.00,3.05,85.00,2.23,25.00,5.00
Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19.00,36.00,38.86,1399.00,2133.00,16.50,594.00,1.44,52.00,49.00,2.61,94.00,52.10,0.09,3.40,0.03,1.00,1.25,45.00,0.67,24.00,1.22,44.00,1.50,32.00,13.00
Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31.00,28.00,45.21,1266.00,1856.00,2.18,61.00,0.96,27.00,21.00,0.93,26.00,80.80,0.00,0.10,0.04,1.00,0.11,3.00,0.07,2.00,1.61,45.00,0.57,3.00,0.00
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33.00,18.80,33.99,639.00,1072.00,4.63,87.00,0.59,11.00,9.00,0.59,11.00,81.80,0.01,0.10,0.00,0.00,0.37,7.00,0.11,2.00,3.99,75.00,0.59,7.00,0.00
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31.00,35.10,46.75,1641.00,2365.00,5.75,202.00,0.97,34.00,15.00,0.48,17.00,88.20,0.05,1.60,0.09,3.00,0.48,17.00,0.20,7.00,3.93,138.00,0.77,14.00,3.00
Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20.00,10.60,56.79,602.00,813.00,18.49,196.00,1.23,13.00,6.00,1.04,11.00,54.50,0.05,0.50,0.09,1.00,0.94,10.00,0.57,6.00,2.83,30.00,1.70,8.00,2.00
Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21.00,2.60,29.23,76.00,112.00,14.23,37.00,2.69,7.00,1.00,1.15,3.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31,6.00,0.39,0.00,0.00
Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22.00,20.10,33.08,665.00,1182.00,16.57,333.00,0.70,14.00,26.00,2.24,45.00,57.80,0.09,1.90,0.05,1.00,1.64,33.00,0.80,16.00,2.34,47.00,1.65,21.00,12.00
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23.00,23.30,29.06,677.00,1231.00,9.57,223.00,0.39,9.00,14.00,1.12,26.00,53.80,0.04,1.00,0.04,1.00,0.82,19.00,0.52,12.00,1.55,36.00,0.99,14.00,5.00
Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23.00,10.60,45.00,477.00,717.00,1.42,15.00,0.66,7.00,1.00,0.19,2.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,20.00,0.28,0.00,0.00
Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26.00,11.90,54.54,649.00,926.00,24.54,292.00,1.85,22.00,15.00,2.18,26.00,57.70,0.13,1.50,0.00,0.00,3.36,40.00,1.18,14.00,3.28,39.00,1.93,25.00,15.00
Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23.00,27.80,34.32,954.00,1518.00,1.80,50.00,0.40,11.00,11.00,0.54,15.00,73.30,0.03,0.80,0.04,1.00,0.07,2.00,0.07,2.00,2.19,61.00,0.47,2.00,0.00
Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22.00,23.10,40.56,937.00,1476.00,18.70,432.00,1.47,34.00,56.00,4.07,94.00,59.60,0.10,2.20,0.09,2.00,1.39,32.00,0.91,21.00,2.42,56.00,1.95,21.00,11.00
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18.00,14.20,42.89,609.00,996.00,18.94,269.00,1.13,16.00,19.00,2.89,41.00,46.30,0.06,0.80,0.07,1.00,2.11,30.00,0.85,12.00,2.54,36.00,1.47,18.00,12.00
Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24.00,25.70,65.49,1683.00,2161.00,3.19,82.00,0.58,15.00,8.00,0.47,12.00,66.70,0.03,0.80,0.08,2.00,0.08,2.00,0.12,3.00,4.01,103.00,0.39,2.00,0.00
Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24.00,27.80,34.10,948.00,1508.00,3.09,86.00,1.22,34.00,5.00,0.18,5.00,100.00,0.02,0.50,0.04,1.00,0.36,10.00,0.14,4.00,2.41,67.00,0.47,10.00,0.00
Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24.00,12.70,50.16,637.00,908.00,2.44,31.00,0.08,1.00,3.00,0.31,4.00,75.00,0.00,0.00,0.08,1.00,0.08,1.00,0.08,1.00,1.97,25.00,0.32,1.00,0.00
David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27.00,27.80,75.50,2099.00,2662.00,8.92,248.00,0.50,14.00,6.00,0.36,10.00,60.00,0.08,2.10,0.25,7.00,1.12,31.00,0.65,18.00,10.58,294.00,1.37,24.00,7.00
Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21.00,15.60,35.71,557.00,991.00,18.08,282.00,1.60,25.00,19.00,2.12,33.00,57.60,0.07,1.10,0.06,1.00,1.22,19.00,0.83,13.00,3.08,48.00,1.67,13.00,6.00
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30.00,24.30,78.48,1907.00,2323.00,34.24,832.00,2.67,65.00,10.00,0.82,20.00,50.00,0.14,3.30,0.04,1.00,2.30,56.00,1.15,28.00,5.19,126.00,1.85,38.00,18.00
Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33.00,36.00,41.92,1509.00,2261.00,1.42,51.00,0.58,21.00,3.00,0.08,3.00,100.00,0.01,0.40,0.03,1.00,0.17,6.00,0.14,5.00,2.67,96.00,0.44,5.00,1.00
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30.00,32.90,46.66,1535.00,2265.00,3.47,114.00,0.67,22.00,0.00,0.06,2.00,0.00,0.03,1.10,0.18,6.00,0.55,18.00,0.33,11.00,3.98,131.00,0.58,17.00,1.00
Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28.00,21.30,38.97,830.00,1436.00,14.98,319.00,0.94,20.00,19.00,1.50,32.00,59.40,0.06,1.30,0.00,0.00,0.85,18.00,0.61,13.00,3.15,67.00,1.22,12.00,6.00
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20.00,35.30,66.94,2363.00,3520.00,35.30,1246.00,1.78,63.00,26.00,1.59,56.00,46.40,0.27,9.60,0.23,8.00,3.40,120.00,2.41,85.00,5.72,202.00,4.28,90.00,30.00
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28.00,15.90,58.36,928.00,1313.00,32.14,511.00,4.53,72.00,12.00,1.19,19.00,63.20,0.13,2.00,0.00,0.00,2.70,43.00,1.64,26.00,2.14,34.00,2.96,29.00,14.00
Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30.00,15.30,35.23,539.00,945.00,13.14,201.00,0.72,11.00,18.00,1.96,30.00,60.00,0.02,0.30,0.00,0.00,1.11,17.00,0.59,9.00,2.03,31.00,1.11,12.00,5.00
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24.00,31.20,33.24,1037.00,1817.00,2.21,69.00,0.64,20.00,11.00,0.42,13.00,84.60,0.02,0.50,0.03,1.00,0.35,11.00,0.10,3.00,2.31,72.00,0.58,8.00,3.00
Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37.00,29.70,33.87,1006.00,1608.00,2.86,85.00,1.21,36.00,2.00,0.10,3.00,66.70,0.02,0.50,0.00,0.00,0.20,6.00,0.24,7.00,2.46,73.00,0.47,5.00,1.00
Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26.00,8.40,35.36,297.00,470.00,1.67,14.00,0.48,4.00,2.00,0.36,3.00,66.70,0.00,0.00,0.00,0.00,0.12,1.00,0.12,1.00,1.67,14.00,0.12,1.00,0.00
Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25.00,24.00,39.38,945.00,1590.00,15.79,379.00,1.33,32.00,28.00,2.33,56.00,50.00,0.05,1.30,0.04,1.00,1.00,24.00,0.58,14.00,1.92,46.00,1.04,16.00,8.00
Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21.00,18.10,26.52,480.00,837.00,10.44,189.00,0.66,12.00,8.00,0.99,18.00,44.40,0.02,0.40,0.06,1.00,0.55,10.00,0.17,3.00,1.99,36.00,0.61,8.00,2.00
