Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,xAp90,xA,Progpassesp90,Prog,SuccPassperc,KP90,KP,Targ,PassesReceivedp90,Final3rd,PassesFinal3rdp90,SCA,SCA90,PrgDistp90,PrgDist,npxGSh,Att,Attdribblesp90,SuccDribblesPerc,xG
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0.11,3.1,7.74,216,78.8,1.15,32,1079,38.67,85,3.05,62,2.23,112.19,3130,0.06,36,1.29,50,2.3
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,0.09,3.4,3.42,123,78.1,0.67,24,1399,38.86,44,1.22,54,1.5,150.86,5431,0.03,94,2.61,52.1,0.5
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,0,0.1,2.96,83,87.7,0.07,2,1266,45.21,45,1.61,16,0.57,153.79,4306,0.07,26,0.93,80.8,1.3
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,0.12,0.2,2.94,5,45,0.59,1,77,45.29,2,1.18,2,1.15,104.12,177,0.21,4,2.35,50,1.3
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,0.07,1.4,4.06,82,83.7,1.29,26,854,42.28,85,4.21,45,2.23,104.75,2116,0.05,22,1.09,54.5,1.6
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0.16,1.1,1.16,8,56.1,0.72,5,309,44.78,5,0.72,12,1.73,71.3,492,0.04,21,3.04,76.2,0.2
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,0.01,0.1,5.74,108,82.8,0.11,2,639,33.99,75,3.99,11,0.59,125.11,2352,0.2,11,0.59,81.8,1.4
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,0.11,2.6,1.3,32,69.7,0.73,18,1076,43.74,16,0.65,47,1.91,47.11,1159,0.17,36,1.46,58.3,14.5
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0.01,0.1,3.24,24,87.1,0.54,4,288,38.92,19,2.57,10,1.36,77.3,572,0.07,10,1.35,70,0.4
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,0.05,1.6,3.62,127,90,0.2,7,1641,46.75,138,3.93,27,0.77,177.52,6231,0.12,17,0.48,88.2,2
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,0.11,1.3,1.71,21,69.4,0.89,11,657,53.41,12,0.98,24,1.94,68.37,841,0.11,27,2.2,55.6,4.2
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,0.05,0.5,4.91,52,85.1,0.57,6,602,56.79,30,2.83,18,1.7,105.47,1118,0.06,11,1.04,54.5,0.4
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,0.11,0.9,2.05,17,73.3,0.84,7,404,48.67,5,0.6,20,2.41,100.48,834,0.2,24,2.89,45.8,4.1
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,66.7,0,0,1,3.33,0,0,0,0,16.67,5,,0,0,,0
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,0.05,0.1,0.48,1,89.1,0.95,2,82,39.05,1,0.48,6,2.87,114.76,241,0.34,4,1.9,100,1.7
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,0,3.08,8,76.3,0,0,76,29.23,6,2.31,1,0.39,82.31,214,0.18,3,1.15,33.3,0.6
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,0.2,0.1,10,5,77.8,4,2,26,52,4,8,3,5.87,288,144,,4,8,75,0
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,0.18,2,6.02,68,79.4,1.59,18,611,54.07,50,4.42,37,3.26,175.13,1979,0.05,42,3.72,57.1,0.9
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,0,0,0,0,72.3,0,0,155,15.98,3,0.31,2,0.21,36.7,356,,0,0,,0
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,0,0,1.3,3,57.9,0,0,117,50.87,3,1.3,2,0.87,20,46,0.1,2,0.87,100,1.3
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,0.09,1.9,7.01,141,73.2,0.8,16,665,33.08,47,2.34,33,1.65,131.39,2641,0.02,45,2.24,57.8,0.3
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,0.04,1,5.28,123,71.2,0.52,12,677,29.06,36,1.55,23,0.99,81.93,1909,0.29,26,1.12,53.8,0.9
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,0.13,0.1,7.5,6,92.3,1.25,1,31,38.75,4,5,2,2.65,61.25,49,,0,0,,0
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,0.14,0.1,4.29,3,80.6,2.86,2,40,57.14,1,1.43,6,8.44,237.14,166,0.08,2,2.86,100,0.3
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,0.16,1.2,2.3,17,81.4,1.49,11,348,47.03,20,2.7,27,3.65,221.49,1639,0.11,33,4.46,63.6,1.1
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,0,0,2.08,22,85.1,0,0,477,45,20,1.89,3,0.28,101.89,1080,0.13,2,0.19,50,0.7
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,0.15,2.4,2.05,33,77.4,0.99,16,780,48.45,12,0.75,51,3.16,86.71,1396,0.16,45,2.8,60,13.8
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,0.13,1.5,6.97,83,84.2,1.18,14,649,54.54,39,3.28,23,1.93,156.13,1858,0.02,26,2.18,57.7,0.1
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,0,0,2.31,6,87.5,0.38,1,116,44.62,4,1.54,3,1.17,102.69,267,,1,0.38,0,0
